,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
150,Omboue,91,GA,1563115487,86,-1.57,9.26,73.49,13.27
151,Aasiaat,2,GL,1563115488,70,68.71,-52.87,43.79,12.71
152,Coihaique,40,CL,1563115490,93,-45.58,-72.07,35.6,3.56
153,Lebu,75,ET,1563115491,68,8.96,38.73,66.2,11.41
154,Rabo de Peixe,40,PT,1563115492,78,37.8,-25.58,71.6,6.93
155,Aklavik,75,CA,1563115494,87,68.22,-135.01,60.8,2.24
156,Hajdubagos,5,HU,1563115495,60,47.39,21.67,73.4,9.17
157,Magomeni,68,TZ,1563115497,76,-6.8,39.25,73.67,8.16
158,Weihe,66,CN,1563115498,93,32.99,105.33,60.71,2.71
159,Muisne,75,EC,1563115499,88,0.61,-80.02,77.0,9.17
160,Itarema,27,BR,1563115501,50,-2.92,-39.92,88.79,9.06
161,Mount Gambier,40,AU,1563115457,81,-37.83,140.78,50.0,18.34
162,Zemio,81,CF,1563115503,90,5.02,25.13,75.65,6.31
163,Kisangani,61,CD,1563115505,49,0.52,25.21,88.61,1.79
164,Mishan,19,CN,1563115506,90,45.55,131.88,58.55,3.02
165,Kalmunai,100,LK,1563115508,75,7.42,81.82,81.77,1.88
166,Port Moresby,100,PG,1563115509,91,-9.47,147.16,75.65,22.53
167,Aquiraz,40,BR,1563115510,62,-3.9,-38.39,86.0,16.11
168,Guozhen,100,CN,1563115512,91,29.3,113.14,74.57,6.44
169,Berlevag,75,NO,1563115513,81,70.86,29.09,42.8,9.17
170,Kushima,81,JP,1563115514,100,31.5,131.29,71.01,8.01
171,Carnot,98,CF,1563115516,91,4.94,15.87,72.05,9.86
172,Zamora,20,ES,1563115338,39,41.51,-5.74,93.0,3.36
173,Chapais,90,CA,1563115518,76,49.78,-74.86,57.2,11.41
174,Christchurch,85,NZ,1563115520,93,-43.53,172.64,41.0,3.36
175,Vila Velha,40,BR,1563115521,62,-3.71,-38.6,86.0,16.11
176,Taltal,100,CL,1563115522,50,-25.41,-70.49,61.97,6.02
177,Sabya,20,SA,1563115524,63,17.15,42.62,95.0,9.17
178,Doha,0,QA,1563115268,31,25.29,51.53,107.6,17.22
179,Komsomolskiy,92,RU,1563115526,75,67.55,63.78,60.89,10.29
180,Umm Kaddadah,63,SD,1563115527,31,13.6,26.69,92.21,10.51
181,Waddan,0,LY,1563115529,11,29.16,16.14,106.07,9.62
182,Ornskoldsvik,75,SE,1563115531,71,63.29,18.72,68.0,8.05
183,Bela Vista,96,BR,1563115532,42,-22.11,-56.53,79.79,4.88
184,Birao,60,CF,1563115533,53,10.3,22.78,88.79,5.48
185,Santa Rosa,100,AR,1563115535,63,-36.62,-64.29,51.71,6.76
186,Jumla,89,NP,1563115536,90,29.28,82.18,56.21,2.98
187,Takoradi,77,GH,1563115537,64,4.89,-1.75,82.13,5.32
188,Cayenne,75,GF,1563115538,66,4.94,-52.33,86.0,2.24
189,Byron Bay,0,AU,1563115540,57,-28.65,153.62,50.0,9.17
190,Wasilla,40,US,1563115318,71,61.58,-149.44,62.01,6.93
191,Shakawe,0,BW,1563115542,10,-18.36,21.84,77.99,5.79
192,Beloha,40,MG,1563115544,77,-25.17,45.06,65.57,15.17
193,Lata,99,IN,1563115545,96,30.78,78.62,42.89,3.31
194,Nalut,0,LY,1563115547,7,31.86,10.98,111.11,12.44
195,Pontes e Lacerda,0,BR,1563115548,25,-15.23,-59.33,93.47,3.8
196,Ahipara,0,NZ,1563115550,67,-35.17,173.16,58.91,25.46
197,Guadix,20,ES,1563115551,27,37.3,-3.14,89.6,11.41
198,Umm Lajj,0,SA,1563115552,61,25.02,37.27,88.79,12.75
199,Ekhabi,69,RU,1563115554,94,53.51,142.97,51.35,11.79
200,Hami,76,CN,1563115555,14,42.84,93.51,87.89,6.4
201,Thompson,75,CA,1563115327,87,55.74,-97.86,59.0,5.82
202,Sinop,93,TR,1563115557,71,42.03,35.15,72.95,22.73
203,Ullubiyaul,20,RU,1563115559,56,42.59,47.72,73.4,11.18
204,Petropavlovsk-Kamchatskiy,0,RU,1563115560,93,53.05,158.65,50.0,6.71
205,Nizwa,83,OM,1563115562,20,22.93,57.53,95.09,7.94
206,Kruisfontein,23,ZA,1563115563,76,-34.0,24.73,57.11,11.61
207,Yumen,0,CN,1563115564,19,40.29,97.04,81.23,8.84
208,Nuristan,0,UZ,1563115566,15,38.49,65.64,104.0,4.7
209,Mabaruma,33,GY,1563115567,62,8.2,-59.78,84.29,3.04
210,Abu Dhabi,0,AE,1563115510,56,24.47,54.37,98.6,10.29
211,Longyearbyen,40,NO,1563115570,70,78.22,15.63,48.2,8.05
212,Aswan,0,EG,1563115572,7,24.09,32.9,107.69,13.49
213,Labuhan,77,ID,1563115574,91,-2.54,115.51,70.25,1.41
214,Shubarkuduk,55,KZ,1563115575,46,49.15,56.49,83.75,17.98
215,La Romana,40,DO,1563115547,74,18.43,-68.97,86.0,11.41
216,Broome,92,GB,1563115578,72,52.47,1.45,69.01,12.75
217,Tautira,97,PF,1563115579,78,-17.73,-149.15,75.2,11.41
218,Hella,0,BF,1563115580,44,10.47,-3.27,89.87,6.55
219,Anadyr,40,RU,1563115582,93,64.73,177.51,57.2,6.71
220,Krapivinskiy,0,RU,1563115583,46,55.0,86.81,73.4,13.42
221,Avera,1,US,1563115584,69,33.19,-82.53,89.01,5.82
222,Micomeseng,96,GQ,1563115586,97,2.15,10.62,71.69,3.94
223,Cockburn Town,0,TC,1563115587,76,21.46,-71.14,81.77,15.82
224,Arraial do Cabo,0,BR,1563115588,61,-22.97,-42.02,78.8,3.04
225,Ancud,75,CL,1563115590,93,-41.87,-73.83,44.6,9.17
226,Leningradskiy,100,RU,1563115591,95,69.38,178.42,34.61,2.57
227,Skibbereen,20,IE,1563115592,68,51.55,-9.27,68.0,6.93
228,Ponta do Sol,3,BR,1563115594,35,-20.63,-46.0,78.71,5.17
229,Husavik,100,CA,1563115595,94,50.56,-96.99,68.0,5.99
230,Lerwick,75,GB,1563115596,93,60.15,-1.15,53.6,12.75
231,Easton,1,US,1563115598,58,38.77,-76.08,88.0,5.82
232,Jasper,1,US,1563115599,94,33.83,-87.28,82.0,4.45
233,Alta,75,NO,1563115601,66,69.97,23.27,53.6,13.87
234,Hirara,0,JP,1563115602,83,24.8,125.28,84.11,9.64
235,Havelock,75,US,1563115471,78,34.88,-76.9,84.99,2.98
236,Fukue,75,JP,1563115605,88,35.03,136.69,78.01,3.36
237,Aksu,0,KZ,1563115606,35,52.04,76.93,84.2,15.66
238,Clyde River,75,CA,1563115607,87,70.47,-68.59,48.2,19.46
239,Kokstad,0,ZA,1563115375,19,-30.55,29.42,59.09,4.45
240,Yushan,0,CN,1563115610,74,31.68,118.49,78.8,4.47
241,Katsuura,75,JP,1563115611,94,33.93,134.5,73.4,8.05
242,Quba,41,AZ,1563115613,61,41.36,48.51,69.53,6.82
243,Sidi Ali,0,DZ,1563115614,80,36.1,0.42,73.31,15.43
244,Vanavara,100,RU,1563115616,88,60.35,102.28,61.61,5.48
245,Almora,3,IN,1563115617,88,29.6,79.66,66.83,1.66
246,Grindavik,75,IS,1563115618,100,63.84,-22.43,57.2,13.87
247,Lamar,1,US,1563115620,53,38.09,-102.62,73.4,6.93
248,Coos Bay,90,US,1563115382,100,43.37,-124.22,57.99,5.82
249,Tahoua,20,NE,1563115622,39,14.89,5.26,96.8,11.41
250,Sovetskiy,97,RU,1563115624,80,56.76,48.47,68.63,1.81
251,Praia da Vitoria,20,PT,1563115625,69,38.73,-27.07,75.2,8.05
252,Pisco,90,PE,1563115626,30,-13.71,-76.2,71.6,3.36
253,Hilpoltstein,40,DE,1563115627,53,49.19,11.19,73.99,5.82
254,Ust-Maya,1,RU,1563115629,87,60.42,134.54,62.15,2.86
255,Bundaberg,44,AU,1563115630,56,-24.87,152.35,50.0,4.7
256,North Bend,90,US,1563115631,100,43.41,-124.22,60.01,5.82
257,Kahului,1,US,1563115633,73,20.89,-156.47,77.0,11.41
258,Faya,40,SA,1563115634,34,18.39,42.45,93.2,13.87
259,Bichura,100,RU,1563115635,67,50.59,107.6,64.49,4.41
260,Zhigansk,32,RU,1563115637,70,66.77,123.37,56.57,12.41
261,Cootamundra,98,AU,1563115638,89,-34.64,148.03,46.0,5.01
262,Cherskiy,97,RU,1563115639,66,68.75,161.3,43.97,19.82
263,Eyl,100,SO,1563115641,42,7.98,49.82,88.25,20.78
264,Erzin,40,TR,1563115642,45,36.95,36.2,87.8,18.34
265,Salalah,90,OM,1563115643,88,17.01,54.1,80.6,8.05
266,Wanning,75,AT,1563115645,77,48.64,13.53,70.0,2.24
267,Flinders,75,AU,1563115646,58,-34.58,150.85,55.0,28.86
268,Oussouye,75,SN,1563115470,66,12.49,-16.54,89.6,6.93
269,Waingapu,21,ID,1563115529,79,-9.65,120.26,68.63,12.82
270,Santa Fe,81,AR,1563115650,52,-31.62,-60.7,62.01,5.44
271,Gamboma,99,CG,1563115652,54,-1.87,15.88,84.11,3.78
272,Oktyabrskoye,0,RU,1563115653,53,56.73,85.44,78.01,6.71
273,Swan River,21,CA,1563115654,69,52.11,-101.27,70.61,3.76
274,Rurrenabaque,40,BO,1563115656,83,-14.44,-67.53,80.6,2.93
275,Paita,83,PE,1563115657,88,-5.09,-81.11,64.31,13.53
276,Raudeberg,57,NO,1563115658,66,61.99,5.14,60.8,24.16
277,Pevek,100,RU,1563115660,94,69.7,170.27,34.07,10.49
278,Isilkul,0,RU,1563115661,73,54.9,71.26,74.39,6.22
279,Rauma,0,FI,1563115523,55,61.13,21.5,62.6,14.99
280,Dudinka,0,RU,1563115664,72,69.41,86.18,64.4,6.71
281,Olinda,75,AU,1563115665,87,-37.84,145.39,52.0,20.8
282,Vestmannaeyjar,90,IS,1563115667,100,63.44,-20.27,51.8,17.22
283,Luxor,0,EG,1563115669,24,25.7,32.65,105.8,13.87
284,Magan,26,OM,1563115671,63,24.42,56.58,95.0,2.24
285,Vostochnyy,20,RU,1563115672,48,55.82,37.87,69.8,4.47
286,Chuy,100,UY,1563115674,73,-33.69,-53.46,51.17,8.77
287,Klaksvik,90,FO,1563115675,93,62.23,-6.59,51.8,3.36
288,Lorengau,100,PG,1563115676,84,-2.02,147.27,78.89,7.65
289,Beringovskiy,87,RU,1563115678,93,63.05,179.32,53.33,3.4
290,Pailon,75,BO,1563115679,78,-17.66,-62.72,78.8,13.87
291,Cabra,0,ES,1563115680,33,37.47,-4.43,91.4,9.17
292,Coquimbo,0,CL,1563115682,43,-29.95,-71.34,51.8,3.36
293,Bereznik,67,RU,1563115683,52,62.86,42.71,65.21,3.09
294,Slave Lake,90,CA,1563115506,87,55.28,-114.77,57.2,3.85
295,San Vicente,90,EC,1563115686,83,-0.59,-80.41,73.4,10.29
296,Atasu,0,KZ,1563115688,33,48.68,71.64,77.81,11.41
297,Kuyanovo,0,RU,1563115689,64,56.95,86.47,63.95,6.89
298,Upernavik,0,GL,1563115690,86,72.79,-56.15,45.05,4.63
299,Kavieng,100,PG,1563115691,82,-2.57,150.8,80.69,14.65
300,KALAS,75,PK,1563115693,70,33.49,72.96,84.2,13.87
301,Oconomowoc,1,US,1563115694,57,43.11,-88.5,79.0,6.93
302,Luino,20,IT,1563115696,30,46.0,8.74,86.0,9.17
303,Nong Phai,100,TH,1563115697,94,16.0,101.06,75.47,5.1
304,Nova Olinda do Norte,40,BR,1563115698,53,-3.89,-59.1,89.69,3.13
305,Gambela,100,ET,1563115700,90,8.25,34.59,73.13,1.9
306,Gao,2,ML,1563115701,23,16.28,-0.04,101.03,6.51
307,Novikovo,74,RU,1563115702,59,51.15,37.89,69.71,4.25
308,Parintins,13,BR,1563115704,74,-2.63,-56.73,85.01,5.14
309,Balgazyn,99,RU,1563115705,88,51.0,95.2,58.91,4.72
310,High Prairie,100,CA,1563115706,85,55.43,-116.48,59.09,7.45
311,Oum Hadjer,0,TD,1563115708,20,13.3,19.7,101.03,6.62
312,Belyy Yar,40,RU,1563115709,60,53.6,91.39,71.6,11.18
313,Pimentel,100,BR,1563115710,80,-3.7,-45.5,81.05,3.98
314,Harper,1,US,1563115712,61,30.3,-99.24,86.0,5.82
315,Yar-Sale,44,RU,1563115713,72,66.83,70.83,74.93,10.16
316,Deputatskiy,7,RU,1563115714,92,69.3,139.9,42.53,3.15
317,Tomatlan,96,MX,1563115716,81,19.93,-105.25,80.15,3.51
318,Maniitsoq,0,GL,1563115717,73,65.42,-52.9,48.65,10.16
319,Cap Malheureux,20,MU,1563115718,60,-19.98,57.61,71.6,4.7
320,Taywarah,0,AF,1563115720,14,33.35,64.42,74.75,17.58
321,Elko,1,US,1563115721,54,40.83,-115.76,59.0,4.7
322,Mahibadhoo,67,MV,1563115723,74,3.78,72.97,81.77,2.08
323,Tapes,100,BR,1563115724,78,-30.67,-51.4,55.13,10.13
324,Tuatapere,100,NZ,1563115725,62,-46.13,167.69,47.75,23.02
325,Tsumeb,0,NA,1563115727,7,-19.25,17.72,76.01,10.87
326,Makushino,0,RU,1563115728,77,55.21,67.25,74.21,7.92
327,Pendleton,1,US,1563115547,94,34.65,-82.78,81.0,2.19
328,Marystown,98,CA,1563115731,73,47.17,-55.16,63.41,13.15
329,Arlit,0,NE,1563115732,10,18.74,7.39,106.07,3.67
330,Evensk,17,RU,1563115733,97,61.92,159.24,48.83,2.13
331,Suure-Jaani,94,EE,1563115735,31,58.54,25.46,66.99,5.01
332,Tsiroanomandidy,0,MG,1563115736,28,-18.77,46.05,67.01,4.0
333,Ubinskoye,0,RU,1563115737,74,55.31,79.68,68.09,8.12
334,Coahuayana,93,MX,1563115739,89,18.62,-100.35,76.01,1.36
335,Peniche,40,PT,1563115741,73,39.36,-9.38,75.0,11.41
336,Caravelas,0,BR,1563115742,52,-17.73,-39.27,81.23,3.8
337,Nanakuli,20,US,1563115743,65,21.39,-158.15,78.8,9.17
338,Qaqortoq,40,GL,1563115745,48,60.72,-46.03,62.6,5.82
339,Vao,100,EE,1563115746,47,59.1,26.19,60.35,5.53
340,Santa Cruz,43,BR,1563115747,43,-6.22,-36.02,87.17,9.62
341,Tessalit,36,ML,1563115749,12,20.2,1.01,104.99,2.15
342,Shingu,99,JP,1563115750,99,33.72,135.99,67.37,1.54
343,Ballina,40,IE,1563115751,59,54.11,-9.15,73.0,4.7
344,Baykit,48,RU,1563115753,91,61.68,96.39,52.79,1.36
345,Ville-Marie,90,CA,1563115754,77,47.33,-79.44,59.0,10.29
346,Sulangan,100,PH,1563115756,75,11.14,123.72,80.87,5.17
347,Arari,100,BR,1563115757,58,-3.45,-44.78,86.09,6.17
348,Porto Nacional,0,BR,1563115759,35,-10.7,-48.41,89.6,8.05
349,Tanete,0,ID,1563115760,74,-3.94,119.78,78.35,19.19
350,Gazanjyk,0,TM,1563115761,38,39.24,55.52,94.91,19.15
351,Alyangula,66,AU,1563115763,63,-13.85,136.42,66.2,3.36
352,Caconda,3,AO,1563115764,13,-13.73,15.06,84.11,0.98
353,Kinkala,40,CG,1563115765,49,-4.35,14.75,89.6,3.36
354,Tamandare,54,BR,1563115767,69,-8.28,-70.75,83.57,0.87
355,Yulara,0,AU,1563115768,46,-25.24,130.99,50.0,11.41
356,Vlasotince,40,RS,1563115769,68,42.97,22.13,68.0,12.75
357,Okhotsk,100,RU,1563115771,93,59.36,143.24,52.79,9.24
358,Chapeco,90,BR,1563115652,100,-27.1,-52.62,60.8,2.44
359,Ilulissat,20,GL,1563115774,57,69.22,-51.1,51.8,5.82
360,Henties Bay,0,NA,1563115775,94,-22.12,14.28,55.99,1.99
361,Catalina,90,PE,1563115777,30,-13.57,-76.13,71.6,3.36
362,Sept-Iles,90,CA,1563115778,100,50.2,-66.38,57.2,14.99
363,Zhigalovo,100,RU,1563115780,57,54.81,105.15,64.67,4.05
364,Santiago del Estero,90,AR,1563115781,61,-27.8,-64.26,62.69,4.79
365,Sirathu,100,IN,1563115782,50,25.65,81.32,93.83,17.67
366,Namatanai,100,PG,1563115784,91,-3.66,152.44,75.29,12.39
367,Tahe,100,CN,1563115785,94,52.34,124.71,60.17,1.03
368,La Macarena,86,CO,1563115787,74,2.18,-73.79,80.15,2.71
369,Petauke,16,ZM,1563115788,33,-14.25,31.33,76.01,8.9
370,Shahrud,62,IR,1563115790,28,36.42,54.97,73.85,6.69
371,Constitucion,5,MX,1563115791,87,23.99,-104.67,66.99,11.95
372,Itaituba,40,BR,1563115792,66,-4.26,-55.99,87.8,6.51
373,Tooele,1,US,1563115794,41,40.53,-112.3,79.0,14.99
374,Woodward,1,US,1563115795,61,36.43,-99.39,86.0,2.33
